📺收集线路,#genre#
CCTV-9 记录,http://1278.hsmedia.top:8080/newlive/live/hls/9/live.m3u8

CCTV-10 科教,http://ys.rgood.xyz:8899/udp/239.77.1.113:5146
CCTV-10 科教,http://ys.rgood.xyz:8899/udp/239.77.1.169:5146
CCTV-10 科教,http://ys.rgood.xyz:8899/udp/239.77.0.134:5146
CCTV-10 科教,http://ys.rgood.xyz:8899/udp/239.77.1.238:5146
CCTV-10 科教,http://1278.hsmedia.top:8080/newlive/live/hls/10/live.m3u8
CCTV-10 科教,http://1583.hsmedia.top:8080/newlive/live/hls/12/live.m3u8
CCTV-10 科教,http://171.213.36.94:8888/udp/239.93.1.28:5140
CCTV-10 科教,http://171.221.240.108:808/hls/10/index.m3u8
CCTV-10 科教,http://1304.hsmedia.top:8080/newlive/live/hls/11/live.m3u8
CCTV-10 科教,http://113.57.150.190:9000/tsfile/live/0010_1.m3u8


CCTV-11 戏曲,http://171.213.36.94:8888/udp/239.93.0.102:5140
CCTV-11 戏曲,http://171.221.240.108:808/hls/11/index.m3u8
CCTV-11 戏曲,http://1304.hsmedia.top:8080/newlive/live/hls/12/live.m3u8
CCTV-11 戏曲,http://113.57.150.190:9000/tsfile/live/0011_1.m3u8

CCTV-12 社会与法,http://ys.rgood.xyz:8899/udp/239.77.1.109:5146
CCTV-12 社会与法,http://ys.rgood.xyz:8899/udp/239.77.1.170:5146
CCTV-12 社会与法,http://ys.rgood.xyz:8899/udp/239.77.0.136:5146
CCTV-12 社会与法,http://1583.hsmedia.top:8080/newlive/live/hls/14/live.m3u8
CCTV-12 社会与法,http://171.213.36.94:8888/udp/239.93.1.30:8124
CCTV-12 社会与法,http://113.57.150.190:9000/tsfile/live/0012_1.m3u8
CCTV-12 社会与法,http://1304.hsmedia.top:8080/newlive/live/hls/13/live.m3u8
CCTV-12 社会与法,http://1278.hsmedia.top:8080/newlive/live/hls/12/live.m3u8
CCTV-12 社会与法,http://171.221.240.108:808/hls/12/index.m3u8


CCTV-13 新闻,https://live-play.cctvnews.cctv.com/cctv/merge_cctv13.m3u8
CCTV-13 新闻,http://ys.rgood.xyz:8899/udp/239.77.0.188:5146
CCTV-13 新闻,http://ys.rgood.xyz:8899/udp/239.253.43.196:5146
CCTV-13 新闻,http://171.213.36.94:8888/udp/239.93.0.66:5140
CCTV-13 新闻,http://1304.hsmedia.top:8080/newlive/live/hls/14/live.m3u8
CCTV-13 新闻,http://1278.hsmedia.top:8080/newlive/live/hls/13/live.m3u8
CCTV-13 新闻,http://113.57.150.190:9000/tsfile/live/0013_1.m3u8

CCTV-14 少儿,http://ys.rgood.xyz:8899/udp/239.77.1.161:5146
CCTV-14 少儿,http://ys.rgood.xyz:8899/udp/239.77.1.171:5146
CCTV-14 少儿,http://ys.rgood.xyz:8899/udp/239.77.0.133:5146
CCTV-14 少儿,http://1583.hsmedia.top:8080/newlive/live/hls/16/live.m3u8
CCTV-14 少儿,http://171.213.36.94:8888/udp/239.93.1.29:6000
CCTV-14 少儿,http://113.57.150.190:9000/tsfile/live/0014_1.m3u8
CCTV-14 少儿,http://1304.hsmedia.top:8080/newlive/live/hls/15/live.m3u8
CCTV-14 少儿,http://1278.hsmedia.top:8080/newlive/live/hls/14/live.m3u8
CCTV-14 少儿,http://1639.hsmedia.top:8080/newlive/live/hls/16/live.m3u8

CCTV-15 音乐,http://ys.rgood.xyz:8899/udp/239.77.1.239:5146
CCTV-15 音乐,http://171.213.36.94:8888/udp/239.93.0.103:5140
CCTV-15 音乐,http://113.57.150.190:9000/tsfile/live/0015_1.m3u8
CCTV-15 音乐,http://1304.hsmedia.top:8080/newlive/live/hls/16/live.m3u8

CCTV-16 奥林匹克,http://ys.rgood.xyz:8899/udp/239.77.1.98:5146
CCTV-16 奥林匹克,http://ys.rgood.xyz:8899/udp/239.77.1.76:5146
CCTV-16 奥林匹克,http://171.213.36.94:8888/udp/239.93.42.53:5140
CCTV-16 奥林匹克,http://1304.hsmedia.top:8080/newlive/live/hls/17/live.m3u8

CCTV-17 农业农村,http://171.213.36.94:8888/udp/239.93.0.92:5140
CCTV-17 农业农村,http://ys.rgood.xyz:8899/udp/239.77.1.121:5146
CCTV-17 农业农村,http://113.57.150.190:9000/tsfile/live/0019_1.m3u8
CCTV-17 农业农村,http://1304.hsmedia.top:8080/newlive/live/hls/18/live.m3u8


东方卫视,http://183.203.182.117:9616/hls/17/index.m3u8
东方卫视,http://ys.rgood.xyz:8899/udp/239.77.1.156:5146
东方卫视,http://ys.rgood.xyz:8899/udp/239.77.1.218:5146
东方卫视,http://ys.rgood.xyz:8899/udp/239.77.0.98:5146
东方卫视,http://171.213.36.94:8888/udp/239.93.0.123:5140
东方卫视,http://171.221.240.108:808/hls/18/index.m3u8
东方卫视,http://113.57.150.190:9000/tsfile/live/0107_1.m3u8
东方卫视,http://183.203.182.117:9616/hls/17/index.m3u8
东方卫视,http://1304.hsmedia.top:8080/newlive/live/hls/30/live.m3u8
东方卫视,http://1583.hsmedia.top:8080/newlive/live/hls/39/live.m3u8


北京卫视,http://42.179.40.167:9901/tsfile/live/1151_1.m3u8?key=txiptv&playlive=1&authid=0
北京卫视,http://ys.rgood.xyz:8899/udp/239.77.1.4:5146
北京卫视,http://ys.rgood.xyz:8899/udp/239.77.1.151:5146
北京卫视,http://ys.rgood.xyz:8899/udp/239.77.0.91:5146
北京卫视,http://1583.hsmedia.top:8080/newlive/live/hls/28/live.m3u8
北京卫视,http://171.213.36.94:8888/udp/239.93.0.180:5140
北京卫视,http://171.221.240.108:808/hls/19/index.m3u8
北京卫视,http://113.57.150.190:9000/tsfile/live/1017_1.m3u8
北京卫视,http://1304.hsmedia.top:8080/newlive/live/hls/29/live.m3u8
北京卫视,http://1278.hsmedia.top:8080/newlive/live/hls/22/live.m3u8
北京卫视,http://42.179.40.167:9901/tsfile/live/1151_1.m3u8?key=txiptv&playlive=1&authid=0

天津卫视,http://42.179.40.167:9901/tsfile/live/1129_1.m3u8?key=txiptv&playlive=1&authid=0
天津卫视,http://171.213.36.94:8888/udp/239.93.0.167:5140
天津卫视,http://ys.rgood.xyz:8899/udp/239.77.1.141:5146
天津卫视,http://ys.rgood.xyz:8899/udp/239.77.1.182:5146
天津卫视,http://ys.rgood.xyz:8899/udp/239.77.0.97:5146
天津卫视,http://ys.rgood.xyz:8899/udp/239.77.0.131:5146
天津卫视,http://113.57.150.190:9000/tsfile/live/1016_1.m3u8
天津卫视,http://1278.hsmedia.top:8080/newlive/live/hls/24/live.m3u8
天津卫视,http://183.203.182.117:9616/hls/25/index.m3u8
天津卫视,http://42.179.40.167:9901/tsfile/live/1129_1.m3u8?key=txiptv&playlive=1&authid=0


湖南卫视,http://42.179.40.167:9901/tsfile/live/1143_1.m3u8?key=txiptv&playlive=1&authid=0
湖南卫视,http://171.213.36.94:8888/udp/239.93.0.88:5140
湖南卫视,http://ys.rgood.xyz:8899/udp/239.77.1.5:5146
湖南卫视,http://ys.rgood.xyz:8899/udp/239.77.1.129:5146
湖南卫视,http://ys.rgood.xyz:8899/udp/239.77.0.88:5146
